,NetworkIPv4_CIDR,SerialNumber,CountryName,CountryCode,RegionName,RegionCode,CityName,Latitude,Longitude,NewSerialNumber
5360,10.130.123.0/24,357,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651,5360
5361,10.130.124.0/24,358,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651,5361
5362,10.130.126.0/26,359,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651,5362
5363,10.130.128.0/24,281,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5363
5364,10.130.129.0/24,260,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5364
5365,10.130.130.0/24,262,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5365
5366,10.130.131.0/24,263,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5366
5367,10.130.132.0/24,264,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5367
5368,10.130.133.0/24,265,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5368
5369,10.130.134.0/24,266,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5369
5370,10.130.135.0/24,267,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5370
5371,10.130.136.0/24,268,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5371
5372,10.130.137.0/24,269,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5372
5373,10.130.138.0/24,270,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5373
5374,10.130.139.0/24,259,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5374
5375,10.130.140.64/26,271,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5375
5376,10.130.140.128/26,272,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5376
5377,10.130.143.240/28,273,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5377
5378,10.130.144.0/28,274,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5378
5379,10.130.144.32/27,275,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5379
5380,10.130.144.96/29,276,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5380
5381,10.130.177.0/24,360,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651,5381
5382,10.130.180.0/25,11648,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5382
5383,10.130.186.12/30,277,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307,5383
5384,10.130.208.0/29,407,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5384
5385,10.130.208.8/29,392,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5385
5386,10.130.208.16/29,402,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5386
5387,10.130.208.24/30,406,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5387
5388,10.130.208.32/32,11998,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5388
5389,10.130.208.34/32,11999,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5389
5390,10.130.208.40/29,408,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5390
5391,10.130.208.48/29,395,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5391
5392,10.130.208.56/29,394,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5392
5393,10.130.208.64/29,414,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5393
5394,10.130.209.0/27,412,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5394
5395,10.130.209.32/27,413,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5395
5396,10.130.209.64/27,411,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5396
5397,10.130.209.128/25,410,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5397
5398,10.130.210.0/24,391,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5398
